Game,ID
"Clockwork Knight 2 - Pepperouchau's Adventure (USA, Brazil)",MK-81036  V1.000
"Code R (Japan)",T-23502G  V1.001
"Code R (Japan) (Demo)",6106831   V0.800
"College Slam (USA)",T-8111H   V1.000
"Command & Conquer - Teil 1 - Der Tiberiumkonflikt (Germany) (Disc 1) (GDI)",T-7028H-18V1.000
"Command & Conquer - Teil 1 - Der Tiberiumkonflikt (Germany) (Disc 2) (NOD)",T-7028H-18V1.000
"Command & Conquer (Europe) (En,Fr,De) (Disc 1) (GDI)",T-7028H-50V1.000
"Command & Conquer (Europe) (En,Fr,De) (Disc 2) (NOD)",T-7028H-50V1.000
"Command & Conquer (France) (Disc 1) (GDI)",T-7028H-09V1.000
"Command & Conquer (France) (Disc 2) (NOD)",T-7028H-09V1.000
"Command & Conquer (Japan) (Disc 1) (GDI Disc)",GS-9131   V1.005
"Command & Conquer (Japan) (Disc 2) (NOD Disc)",GS-9131   V1.005
"Command & Conquer (USA) (Disc 1) (GDI Disc)",T-7028H   V1.000
"Command & Conquer (USA) (Disc 2) (NOD Disc)",T-7028H   V1.000
"Congo - The Movie - The Lost City of Zinj (USA)",MK-81010  V1.014
"Contra - Legacy of War (USA)",T-9507H   V1.000
"Conveni 2, The - Zenkoku Chain Tenkai da! (Japan)",T-4317G   V1.002
"Conveni, The - Ano Machi o Dokusen seyo (Japan)",T-4310G   V1.001
"Core Demo Disc (Europe)",610-6576  V1.000
"Corpse Killer - Graveyard Edition (USA) (Disc 1) (R)",T-16201H  V1.000
"Corpse Killer - Graveyard Edition (USA) (Disc 2)",T-16201H  V1.000
"Courier Crisis - The Saga of the Modern Fatalist (Europe) (En,Fr,De,It)",MK8109950 V1.001
"Courier Crisis - The Saga of the Modern Fatalist (Japan)",T-18010G  V1.001
"Courier Crisis - The Saga of the Modern Fatalist (USA)",T-25415H  V1.001
"Creature Shock - Special Edition (USA) (Disc 1)",T-01304H  V1.000
"Creature Shock - Special Edition (USA) (Disc 2)",T-01304H  V1.000
"Creature Shock (Japan) (Disc 1)",T-1303G   V1.007
"Creature Shock (Japan) (Disc 2)",T-1303G   V1.007
"Crimewave (Europe) (Demo)",610-6455  V1.000
"Crimewave (Europe) (En,Fr,De,Es,It)",T-8807H   V1.000
"Crimewave (Japan)",T-7018G   V1.003
"Crimewave (USA)",T-8807H   V1.300
"Criticom - The Critical Combat (Japan)",T-2302G   V1.001
"Criticom (USA)",T-2302H   V1.000
"Croc - Legend of the Gobbos (Europe)",T-5029H-50V1.000
"Croc - Legend of the Gobbos (USA)",T-5029H-50V1.000
"Croc! Pau-Pau Island (Japan)",T-26410G  V1.002
